Time,MeasuredLux,DutyCycle,SetpointLux
33563.0,5.03,0.1267,5.0
33668.0,4.99,0.1267,5.0
33773.0,5.01,0.1265,5.0
33879.0,5.0,0.1265,5.0
33984.0,4.97,0.1267,5.0
34089.0,5.0,0.1265,5.0
34195.0,4.97,0.1267,5.0
34300.0,4.98,0.1272,5.0
34406.0,5.61,0.2215,15.0
34511.0,8.43,0.2796,15.0
34616.0,11.2,0.3094,15.0
34722.0,13.0,0.3241,15.0
34827.0,14.11,0.3292,15.0
34933.0,14.67,0.3309,15.0
35038.0,14.89,0.3314,15.0
35144.0,14.96,0.3314,15.0
35249.0,15.0,0.3311,15.0
35354.0,15.05,0.3304,15.0
35460.0,14.99,0.3306,15.0
35565.0,15.0,0.3306,15.0
35671.0,14.96,0.3306,15.0
35776.0,14.95,0.3311,15.0
35881.0,15.06,0.3302,15.0
35987.0,14.99,0.3304,15.0
36092.0,15.02,0.3302,15.0
36198.0,14.99,0.3309,15.0
36303.0,15.0,0.3309,15.0
36409.0,14.97,0.3309,15.0
36514.0,15.0,0.3306,15.0
36619.0,15.08,0.3302,15.0
36726.0,14.98,0.3309,15.0
36831.0,14.96,0.3309,15.0
36937.0,15.0,0.3306,15.0
37042.0,14.98,0.3309,15.0
37148.0,15.0,0.3309,15.0
37254.0,14.98,0.3311,15.0
37359.0,15.01,0.3309,15.0
37464.0,15.03,0.3306,15.0
37570.0,15.0,0.3309,15.0
37675.0,15.06,0.3302,15.0
37782.0,14.98,0.3309,15.0
37887.0,15.05,0.3302,15.0
37992.0,14.94,0.3309,15.0
38098.0,14.94,0.3311,15.0
38203.0,14.85,0.3321,15.0
38309.0,14.99,0.3314,15.0
38414.0,14.98,0.3314,15.0
38521.0,14.99,0.3311,15.0
38626.0,15.01,0.3309,15.0
38731.0,14.98,0.3309,15.0
38837.0,14.99,0.3314,15.0
38943.0,15.04,0.3309,15.0
39049.0,14.93,0.3316,15.0
39154.0,14.99,0.3311,15.0
39260.0,14.99,0.3314,15.0
39365.0,14.98,0.3314,15.0
39471.0,14.99,0.3314,15.0
39577.0,14.96,0.3319,15.0
39682.0,15.04,0.3311,15.0
39788.0,15.01,0.3309,15.0
39893.0,14.96,0.3316,15.0
39998.0,14.94,0.3321,15.0
40105.0,15.02,0.3314,15.0
40210.0,15.0,0.3311,15.0
40316.0,14.98,0.3314,15.0
40421.0,15.03,0.3309,15.0
